model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,chrono_test_mae,chrono_test_rmse,chrono_test_r2,cv_mae,cv_rmse,cv_r2,robust_mae
RandomForest,2.170824841733263,2.9952984827233604,0.9793063899573982,2.90685594951678,4.056765859234935,0.9610961040392361,2.8273151856672722,3.970468149636515,0.9546510267544844,3.001285919333484,4.227168766310831,0.9587623408633444,2.911819018172512
GradientBoosting,3.0460330476050173,4.180658920742546,0.9596869625546792,3.059333909325087,4.2083230110217995,0.9581349760965822,2.943264095139047,4.038621517030087,0.953080828464171,3.128084926600972,4.318270698663493,0.9569761146461303,3.043560977021702
LinearRegression,4.314869682503827,5.852386484396252,0.9210009179049965,4.357275544991402,5.854194964258938,0.918984601331246,3.9502181366770253,5.301098887686059,0.9191619484881192,4.31808096115059,5.856504109292925,0.9208671670438424,4.208524880939673
